id,rank,title,image,price,sales,category,shop,commission,commission_rate,affiliate_url,collected_at
1735304940106318937,1,JJ Glow Sabun Gluta Pink Barsoap Gluta Pink Soap With 10X Brightening Formula Glowing,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/ce70fdf2e41c4230adeb604243271bc8~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp24.620,452.8K,beauty,JJ Glow Skin,Rp2.462,10%,https://shop-id.tokopedia.com/view/product/1735304940106318937?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1737157204719797891,2,MLAN Bulu Mata Palsu C Curl Natural Bold Serat Kapas Hitam Pekat 14 Model Lengkap Lentik,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/7ded34819223462ca9d0d3e67380e0fb~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp10.999,451.2K,beauty,MLAN Lash Studio,Rp660,6%,https://shop-id.tokopedia.com/view/product/1737157204719797891?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1730769965814548027,3,UNIQSOO Tas Serut Sepatu Anti Kuning Pouch Travel Multifungsi Shoes Bag Penyimpanan Cover,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/f5eed3f5b0de4601892552cb2930ad35~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp690,288.3K,fashion,uniqsoo,Rp69,10%,https://shop-id.tokopedia.com/view/product/1730769965814548027?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1735363068661957933,4,Liora Perfect Glowing Powder Foundation 15g I 2in1 Foundation + Setting Powder Long Lasting,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/5f7480df3403405abda653379c4cf2b5~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp26.400,279.6K,beauty,liora beauty,Rp2.640,10%,https://shop-id.tokopedia.com/view/product/1735363068661957933?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1729382420060341472,5,MAYBELLINE Superstay Matte Ink Liquid Long Lasting Waterproof Matte Lipstick Lipcream Make,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/45f3b65302bf4406b1a6504ac12b140e~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp97.923,254.5K,beauty,Maybelline Indonesia,Rp8.813,9%,https://shop-id.tokopedia.com/view/product/1729382420060341472?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1729678876513437868,6,Moicare Brightening Underarm Pencerah Ketiak With Niacinamide & Collagen Mencerahkan,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/0a287a3fc2074e0aa5bd8cabc5c3f10b~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp36.999,216.3K,beauty,Moicare Indonesia,Rp5.180,14%,https://shop-id.tokopedia.com/view/product/1729678876513437868?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1729419906221509377,7,NEW SYB FORTE Red Jelly Serum 20ml with Niacinamide 10% untuk mencerahkan kulit wajah,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/22fad1cc6370460695c902558d226fee~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp23.750,201.4K,beauty,SYB,Rp1.900,8%,https://shop-id.tokopedia.com/view/product/1729419906221509377?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1736755585903592824,8,SCARLETT Eau De Parfum & Extrait De Parfum 30ml Wangi Tahan Lama - Wangi Mewah - Parfum,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/893ea76be17d415a91aee9dfe26f44df~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp60.900,191.2K,beauty,Scarlett Whitening,Rp3.045,5%,https://shop-id.tokopedia.com/view/product/1736755585903592824?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1729863618733181659,9,BEAUTY TALK AHA Collagen Body Booster - 100ML Whitening Lotion dengan AHA Collagen untuk,https://p19-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/acbd0534079146d296be6caffd8974d9~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp20.500,184.1K,beauty,Beauty Talk Cosmetic,Rp2.050,10%,https://shop-id.tokopedia.com/view/product/1729863618733181659?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
1735769448425096601,10,sf hijab - hijab airee sport sekolah ped tebal Jersey spandek premium,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/94d0ab885185450caf67a29236070949~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=2408c917&shcp=f4c72237&idc=my2&from=604555543,Rp27.000,182.6K,fashion,Sf hijabOfficial,Rp1.890,7%,https://shop-id.tokopedia.com/view/product/1735769448425096601?region=ID&locale=en&source=agency,2026-09-26T07:46:15+00:00
